LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,GDP,TOT,USD_CAP,A,2000,36299.66218,
USA,GDP,TOT,USD_CAP,A,2001,37100.28574,
USA,GDP,TOT,USD_CAP,A,2002,37954.22201,
USA,GDP,TOT,USD_CAP,A,2003,39419.90737,
USA,GDP,TOT,USD_CAP,A,2004,41659.66269,
USA,GDP,TOT,USD_CAP,A,2005,44052.383,
USA,GDP,TOT,USD_CAP,A,2006,46234.10571,
USA,GDP,TOT,USD_CAP,A,2007,47976.20121,
USA,GDP,TOT,USD_CAP,A,2008,48498.44521,
USA,GDP,TOT,USD_CAP,A,2009,47122.98854,
USA,GDP,TOT,USD_CAP,A,2010,48570.28973,
USA,GDP,TOT,USD_CAP,A,2011,49951.90765,
USA,GDP,TOT,USD_CAP,A,2012,51644.99166,
USA,GDP,TOT,USD_CAP,A,2013,53116.52197,
USA,GDP,TOT,USD_CAP,A,2014,54914.36823,
USA,GDP,TOT,USD_CAP,A,2015,56520.60923,
USA,GDP,TOT,USD_CAP,A,2016,57592.69152,
USA,GDP,TOT,USD_CAP,A,2017,59589.23392,
USA,GDP,TOT,USD_CAP,A,2018,62449.61283,
USA,GDP,TOT,USD_CAP,A,2019,64690.2724,
USA,GDP,TOT,USD_CAP,A,2020,63480.86122,
USA,GDP,TOT,USD_CAP,A,2021,70181.12175,
USA,GDP,TOT,USD_CAP,A,2022,76359.99952,E
