LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,EMPINDUS,CONSTR,THND_PER,A,2000,9930.833,
USA,EMPINDUS,CONSTR,THND_PER,A,2001,10154.67,
USA,EMPINDUS,CONSTR,THND_PER,A,2002,9981.25,
USA,EMPINDUS,CONSTR,THND_PER,A,2003,10138.33,
USA,EMPINDUS,CONSTR,THND_PER,A,2004,10768.17,
USA,EMPINDUS,CONSTR,THND_PER,A,2005,11197.33,
USA,EMPINDUS,CONSTR,THND_PER,A,2006,11748.67,
USA,EMPINDUS,CONSTR,THND_PER,A,2007,11856.42,
USA,EMPINDUS,CONSTR,THND_PER,A,2008,10974.17,
USA,EMPINDUS,CONSTR,THND_PER,A,2009,9701.75,
USA,EMPINDUS,CONSTR,THND_PER,A,2010,9076.667,
USA,EMPINDUS,CONSTR,THND_PER,A,2011,9039.583,
USA,EMPINDUS,CONSTR,THND_PER,A,2012,8964.333,
USA,EMPINDUS,CONSTR,THND_PER,A,2013,9271.5,
USA,EMPINDUS,CONSTR,THND_PER,A,2014,9812.75,
USA,EMPINDUS,CONSTR,THND_PER,A,2015,9935.333,
USA,EMPINDUS,CONSTR,THND_PER,A,2016,10328,
USA,EMPINDUS,CONSTR,THND_PER,A,2017,10692.33,
USA,EMPINDUS,CONSTR,THND_PER,A,2018,11181.33,
USA,EMPINDUS,CONSTR,THND_PER,A,2019,11372.75,
USA,EMPINDUS,CONSTR,THND_PER,A,2020,10786.42,
USA,EMPINDUS,CONSTR,THND_PER,A,2021,11271.33,
USA,EMPINDUS,CONSTR,THND_PER,A,2022,11790,
