LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,OILIMPPRICE,TOT,USD_BAR,A,2000,27.54,
USA,OILIMPPRICE,TOT,USD_BAR,A,2001,22.07,
USA,OILIMPPRICE,TOT,USD_BAR,A,2002,23.52,
USA,OILIMPPRICE,TOT,USD_BAR,A,2003,27.66,
USA,OILIMPPRICE,TOT,USD_BAR,A,2004,35.86,
USA,OILIMPPRICE,TOT,USD_BAR,A,2005,48.82,
USA,OILIMPPRICE,TOT,USD_BAR,A,2006,59.17,
USA,OILIMPPRICE,TOT,USD_BAR,A,2007,66.77,
USA,OILIMPPRICE,TOT,USD_BAR,A,2008,94.97,
USA,OILIMPPRICE,TOT,USD_BAR,A,2009,58.83,
USA,OILIMPPRICE,TOT,USD_BAR,A,2010,76.02,
USA,OILIMPPRICE,TOT,USD_BAR,A,2011,102.43,
USA,OILIMPPRICE,TOT,USD_BAR,A,2012,101.16,
USA,OILIMPPRICE,TOT,USD_BAR,A,2013,97.26,
USA,OILIMPPRICE,TOT,USD_BAR,A,2014,89.43,
USA,OILIMPPRICE,TOT,USD_BAR,A,2015,45.81,
USA,OILIMPPRICE,TOT,USD_BAR,A,2016,37.94,
USA,OILIMPPRICE,TOT,USD_BAR,A,2017,48.12,
USA,OILIMPPRICE,TOT,USD_BAR,A,2018,59.19,
USA,OILIMPPRICE,TOT,USD_BAR,A,2019,56.33,
USA,OILIMPPRICE,TOT,USD_BAR,A,2020,36.57,
USA,OILIMPPRICE,TOT,USD_BAR,A,2021,64.43,
USA,OILIMPPRICE,TOT,USD_BAR,A,2022,89.71,
