LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,EMP,TOT,PC_WKGPOP,A,2000,74.09456,
USA,EMP,TOT,PC_WKGPOP,A,2001,73.13562,
USA,EMP,TOT,PC_WKGPOP,A,2002,71.92931,
USA,EMP,TOT,PC_WKGPOP,A,2003,71.22334,
USA,EMP,TOT,PC_WKGPOP,A,2004,71.22248,
USA,EMP,TOT,PC_WKGPOP,A,2005,71.53017,
USA,EMP,TOT,PC_WKGPOP,A,2006,71.99708,
USA,EMP,TOT,PC_WKGPOP,A,2007,71.78132,
USA,EMP,TOT,PC_WKGPOP,A,2008,70.88825,
USA,EMP,TOT,PC_WKGPOP,A,2009,67.62595,
USA,EMP,TOT,PC_WKGPOP,A,2010,66.68977,
USA,EMP,TOT,PC_WKGPOP,A,2011,66.64754,
USA,EMP,TOT,PC_WKGPOP,A,2012,67.13661,
USA,EMP,TOT,PC_WKGPOP,A,2013,67.35994,
USA,EMP,TOT,PC_WKGPOP,A,2014,68.14875,
USA,EMP,TOT,PC_WKGPOP,A,2015,68.70962,
USA,EMP,TOT,PC_WKGPOP,A,2016,69.35136,
USA,EMP,TOT,PC_WKGPOP,A,2017,70.11017,
USA,EMP,TOT,PC_WKGPOP,A,2018,70.72614,
USA,EMP,TOT,PC_WKGPOP,A,2019,71.35841,
USA,EMP,TOT,PC_WKGPOP,A,2020,67.06998,
USA,EMP,TOT,PC_WKGPOP,A,2021,69.40365,
USA,EMP,TOT,PC_WKGPOP,A,2022,71.27018,
