LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,LTINT,TOT,PC_PA,A,2000,6.029167,
USA,LTINT,TOT,PC_PA,A,2001,5.0175,
USA,LTINT,TOT,PC_PA,A,2002,4.610833,
USA,LTINT,TOT,PC_PA,A,2003,4.015,
USA,LTINT,TOT,PC_PA,A,2004,4.274167,
USA,LTINT,TOT,PC_PA,A,2005,4.29,
USA,LTINT,TOT,PC_PA,A,2006,4.791667,
USA,LTINT,TOT,PC_PA,A,2007,4.629167,
USA,LTINT,TOT,PC_PA,A,2008,3.666667,
USA,LTINT,TOT,PC_PA,A,2009,3.256667,
USA,LTINT,TOT,PC_PA,A,2010,3.214167,
USA,LTINT,TOT,PC_PA,A,2011,2.785833,
USA,LTINT,TOT,PC_PA,A,2012,1.8025,
USA,LTINT,TOT,PC_PA,A,2013,2.350833,
USA,LTINT,TOT,PC_PA,A,2014,2.540833,
USA,LTINT,TOT,PC_PA,A,2015,2.135833,
USA,LTINT,TOT,PC_PA,A,2016,1.841667,
USA,LTINT,TOT,PC_PA,A,2017,2.33,
USA,LTINT,TOT,PC_PA,A,2018,2.91,
USA,LTINT,TOT,PC_PA,A,2019,2.144167,
USA,LTINT,TOT,PC_PA,A,2020,0.8941666,
USA,LTINT,TOT,PC_PA,A,2021,1.4425,
USA,LTINT,TOT,PC_PA,A,2022,2.951667,
