LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2000,2.746401,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2001,2.19397,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2002,2.766428,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2003,3.02378,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2004,2.616489,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2005,2.089042,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2006,0.946807,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2007,1.404249,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2008,1.280744,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2009,3.196011,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2010,2.642871,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2011,0.038302,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2012,0.377515,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2013,0.425423,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2014,0.375923,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2015,0.556997,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2016,0.302963,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2017,0.895578,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2018,1.127404,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2019,1.211145,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2020,3.407419,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2021,1.190762,
USA,GDPCAPCONTR,LPRDTY,AGRWTH,A,2022,-3.704273,
