LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,LF,TOT,THND_PER,A,2000,142582.6,
USA,LF,TOT,THND_PER,A,2001,143733.9,
USA,LF,TOT,THND_PER,A,2002,144862.9,
USA,LF,TOT,THND_PER,A,2003,146509.7,
USA,LF,TOT,THND_PER,A,2004,147401.2,
USA,LF,TOT,THND_PER,A,2005,149320.3,
USA,LF,TOT,THND_PER,A,2006,151427.6,
USA,LF,TOT,THND_PER,A,2007,153124.2,
USA,LF,TOT,THND_PER,A,2008,154286.7,
USA,LF,TOT,THND_PER,A,2009,154142,
USA,LF,TOT,THND_PER,A,2010,153888.6,
USA,LF,TOT,THND_PER,A,2011,153616.7,
USA,LF,TOT,THND_PER,A,2012,154974.6,
USA,LF,TOT,THND_PER,A,2013,155389.2,
USA,LF,TOT,THND_PER,A,2014,155921.8,
USA,LF,TOT,THND_PER,A,2015,157129.9,
USA,LF,TOT,THND_PER,A,2016,159187.2,
USA,LF,TOT,THND_PER,A,2017,160319.8,
USA,LF,TOT,THND_PER,A,2018,162075,
USA,LF,TOT,THND_PER,A,2019,163538.7,
USA,LF,TOT,THND_PER,A,2020,160742.3,
USA,LF,TOT,THND_PER,A,2021,161203.9,
USA,LF,TOT,THND_PER,A,2022,164287.2,
