LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2000,0.165,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2001,0.161,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2002,0.16,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2003,0.156,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2004,0.153,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2005,0.149,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2006,0.143,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2007,0.143,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2008,0.139,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2009,0.136,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2010,0.135,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2011,0.131,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2012,0.126,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2013,0.126,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2014,0.125,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2015,0.12,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2016,0.117,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2017,0.114,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2018,0.114,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2019,0.111,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2020,0.106,
USA,PRYENRGSUPPLY,TOT,TOE_1000USD,A,2021,0.103,
