LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,PUBLMPEXP,TOT,PC_GDP,A,2000,0.43,
USA,PUBLMPEXP,TOT,PC_GDP,A,2001,0.64,
USA,PUBLMPEXP,TOT,PC_GDP,A,2002,0.65,
USA,PUBLMPEXP,TOT,PC_GDP,A,2003,0.5,
USA,PUBLMPEXP,TOT,PC_GDP,A,2004,0.39,
USA,PUBLMPEXP,TOT,PC_GDP,A,2005,0.36,
USA,PUBLMPEXP,TOT,PC_GDP,A,2006,0.36,
USA,PUBLMPEXP,TOT,PC_GDP,A,2007,0.42,
USA,PUBLMPEXP,TOT,PC_GDP,A,2008,1.01,
USA,PUBLMPEXP,TOT,PC_GDP,A,2009,1.22,
USA,PUBLMPEXP,TOT,PC_GDP,A,2010,0.88,
USA,PUBLMPEXP,TOT,PC_GDP,A,2011,0.69,
USA,PUBLMPEXP,TOT,PC_GDP,A,2012,0.52,
USA,PUBLMPEXP,TOT,PC_GDP,A,2013,0.35,
USA,PUBLMPEXP,TOT,PC_GDP,A,2014,0.28,
USA,PUBLMPEXP,TOT,PC_GDP,A,2015,0.28,
USA,PUBLMPEXP,TOT,PC_GDP,A,2016,0.26,
USA,PUBLMPEXP,TOT,PC_GDP,A,2017,0.24,
USA,PUBLMPEXP,TOT,PC_GDP,A,2018,0.25,
USA,PUBLMPEXP,TOT,PC_GDP,A,2019,3.43,
USA,PUBLMPEXP,TOT,PC_GDP,A,2020,2.34,
