LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2000,4.49,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2001,4,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2002,4.05,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2003,4.3,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2004,4.4,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2005,4.54,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2006,4.77,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2007,4.67,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2008,5.07,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2009,5.44,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2010,5.68,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2011,6.19,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2012,6.43,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2013,6.78,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2014,6.9,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2015,6.84,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2016,7.17,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2017,7.54,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2018,7.78,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2019,7.9,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2020,8.43,
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2021,8,
