LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,HRWKD,TOT,HR_WKD,A,2000,1879.8455,
USA,HRWKD,TOT,HR_WKD,A,2001,1857.76125,
USA,HRWKD,TOT,HR_WKD,A,2002,1854.013333,
USA,HRWKD,TOT,HR_WKD,A,2003,1843.041667,
USA,HRWKD,TOT,HR_WKD,A,2004,1844.0625,
USA,HRWKD,TOT,HR_WKD,A,2005,1842.13425,
USA,HRWKD,TOT,HR_WKD,A,2006,1843.688,
USA,HRWKD,TOT,HR_WKD,A,2007,1842.9275,
USA,HRWKD,TOT,HR_WKD,A,2008,1829.389833,
USA,HRWKD,TOT,HR_WKD,A,2009,1798.7775,
USA,HRWKD,TOT,HR_WKD,A,2010,1810.3875,
USA,HRWKD,TOT,HR_WKD,A,2011,1820.304167,
USA,HRWKD,TOT,HR_WKD,A,2012,1828.1165,
USA,HRWKD,TOT,HR_WKD,A,2013,1826.487,
USA,HRWKD,TOT,HR_WKD,A,2014,1830.359583,
USA,HRWKD,TOT,HR_WKD,A,2015,1831.1175,
USA,HRWKD,TOT,HR_WKD,A,2016,1823.41575,
USA,HRWKD,TOT,HR_WKD,A,2017,1821.498,
USA,HRWKD,TOT,HR_WKD,A,2018,1826.71,
USA,HRWKD,TOT,HR_WKD,A,2019,1823.629583,
USA,HRWKD,TOT,HR_WKD,A,2020,1799.777,
USA,HRWKD,TOT,HR_WKD,A,2021,1819.895,
USA,HRWKD,TOT,HR_WKD,A,2022,1810.944,
